Name,English only,Welsh only,Bilingual,Some Welsh element*
Cardiff,56,12,4,17
Swansea,55,19,0,21
Newport,82,1,0,12
Wrexham,20,12,28,5
Tonypandy,61,7,1,26
Llanelli,17,39,8,12
Barry,69,11,0,15
Cwmbran,66,7,0,21
Bridgend,35,26,4,12
,,,,
Source: Analysis of Find My Street Data,,,,
